#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,
S, , , , , , , , , , , , , ,#,#,#, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#,#,#,
#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#, ,#,
#, , , , , , , , ,#, ,#,#, ,#, , , , , , , , , , , , , , , , , , , ,#,#, ,#,#, ,#, , , ,#,#, , , , , ,#, , , , , , ,#, , ,#, ,#,
#,#,#,#, ,#,#,#, ,#, ,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#, ,#,#, ,#,#,#, , ,#,#, ,#,#, ,#, ,#,#,#,#, ,#,#, ,#, ,#,
#, , , , ,#, ,#, ,#, ,#,#, ,#, , ,#,#,#,#, , , , , , , , , , , ,#, ,#,#, ,#,#, ,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#, ,#, ,#,
#, ,#,#, ,#, ,#, ,#, ,#,#, ,#, , , , , , , ,#,#,#,#,#,#,#,#,#, ,#, ,#,#, ,#,#, , , , , , , , , , , , ,#, ,#, , , , , , , ,#, ,#,
#,#,#,#, ,#, ,#, ,#, ,#,#, ,#, ,#,#,#,#,#,#,#, , , , , , , ,#, ,#, ,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#, ,#,
#, , , , , , ,#, ,#, ,#,#, ,#, ,#,#, ,#, , , , ,#, ,#,#,#,#,#, ,#, ,#,#, , , , , , , , , , , , , , , , , ,#, ,#, , , , , , , ,#,
#, ,#,#,#,#,#,#, ,#, ,#,#, ,#, ,#,#, ,#, ,#,#,#,#, ,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#, ,#,
#, ,#, , , , ,#, ,#, , , , ,#, ,#,#, ,#, ,#,#,#,#,#,#, , , ,#, ,#, ,#, , , , , , , , ,#, ,#, , , , , , , ,#, ,#, , , , , , , ,#,
#, ,#, ,#,#, ,#, ,#,#,#,#, ,#, ,#,#, ,#, , ,#, , , , , ,#, ,#, ,#, ,#, ,#,#,#,#, ,#,#,#, ,#, ,#, ,#,#,#, ,#, ,#,#,#, ,#,#,#,#,#,
#, ,#, ,#,#, ,#, , , , , , ,#, , ,#, ,#, , ,#,#,#,#,#, ,#, ,#, ,#, ,#,#,#,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#,#,#,#,#,
#, ,#, ,#,#, ,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#, , , , , , , , ,#, ,#, ,#, ,#, ,#, ,#, , ,#, , , , , , ,#,
